Carcel    Poligono con coordenadas
Penal Santa Mónica    [(-77.019896,-12.17337), (-77.019171,-12.172693), (-77.018152,-12.173726), (-77.018903,-12.174392)]
Carceleta Palacio de Justicia    a
Penal Castro Castro    a
Penal Chachapoyas    a
Penal Diroes    a
Penal de Cañete    a
Penal de Carquin    a
Penal de Chota    a
Penal de Cusco    a
Penal de Huacariz    a
Penal de Huancavelica    a
Penal de Huánuco    a
Penal de Huaral    a
Penal de Huaraz    a
Penal de Jaen    a
Penal de Lurigancho    a
Penal de Moyobamba    a
Penal de Picsi (Chiclayo)    a
Penal de Piedras Gordas    a
Penal de Pucallpa    a
Penal de Puerto Maldonado    a
Penal de Sullana    a
Penal de Tarma    a
Penal de Trujillo    a
Penal Maranguita    a
Penal San Jorge    a
