Column 1	direcccioncompleta	longitud	latitud
E.P. DE TUMBES	Predio Zarumilla - Puerto El Cura, TUMBES, TUMBES	-80.45	-3.5666667
E.P. DE PIURA (RIO SECO)	Pan. Norte-Carretera Paita, PIURA, CASTILLA	-80.6217618	-5.198295799999999
E.P. DE HUANCABAMBA	Av. Ramón Castilla S/N., HUANCABAMBA, HUANCABAMBA	-79.44660200000001	-5.234364999999999
E.P. DE SULLANA	Calle María Auxiliadora N° 103, SULLANA , SULLANA	-80.6948965	-4.9058082
E.P. DE CHICLAYO (PICSI)	Fundo Santa María del Rocio, CHICLAYO, PICSI	-79.7708275	-6.7195469
E.P. DE TRUJILLO	Panamericana Norte Km. 570 (Huanchaco), TRUJILLO, LA ESPERANZA	-79.0432325	-8.1485658
E.P. MUJERES DE TRUJILLO	Panamericana Norte Km. 570 (Huanchaco), TRUJILLO, LA ESPERANZA	-79.0432325	-8.1485658
E.P. DE CAJAMARCA (HUACARIZ)	Fundo Huacariz, CAJAMARCA, HUACARIZ	-78.49110430000002	-7.186417800000001
E.P. DE CHOTA	Jr. Garcilazo de la Vega N° 231, CHOTA, CHOTA	-78.6486111	-6.5613889
E.P. DE JAEN	Av. Mariano Melgar ??Manco Capac, JAEN, JAEN	-78.8062747	-5.7073995
E.P. DE SAN IGNACIO	Caserio Santiago Km. 1, SAN IGNACIO, SAN IGNACIO	-79.002342	-5.1465764
E.P. DE HUARAZ	Av. Bolognaesi S/N.), HUARAZ, HUARAZ	-77.53385449999999	-9.5274462
E.P. CHIMBOTE (CAMBIO PUENTE) 	Cambio de Puente S/N, SANTA , CHIMBOTE	-78.589011	-9.063336399999999
E.P. MUJERES DE CHORRILLOS (	Av. Huaylas S/N Cuadra 10, LIMA, CHORRILLOS	-76.987009	-12.2097308
E.P. DE LURIGANCHO	Av. El Sol S/N., LIMA, S.J. DE LURIGANCHO	-76.9447698	-11.9825497
E.P. MIGUEL CASTRO CASTRO	Av. Santa Rosa S/N., LIMA, S.J. DE LURIGANCHO	-76.9049242	-12.0088609
E.P. DE LIMA (SAN JORGE)	Av. Nicolas de Piérola S/N. Cdra. 14, LIMA, CERCADO DE LIMA	-77.0427934	-12.046374
E.P. ANEXO MUJERES DE CHORRILLOS	Av. Huaylas S/N Cuadra 10, LIMA, CHORRILLOS 	-76.987009	-12.2097308
E.P. VIRGEN DE FATIMA	Av. Huaylas S/N Cuadra , LIMA, CHORRILLOS 	-77.00776359999999	-12.1876499
E.P. DEL CALLAO	Prolong. Centenario S/N. Callao, CALLAO, CALLAO	-77.1259843	-12.0508491
E.P. DE CA?ETE	Nuevo Imperial Cantera Alta, CA?ETE, NUEVO IMPERIAL	-76.3188243	-13.0729393
E.P. DE HUARAL	Comunidad Campesina Aucallama, HUARAL , AUCALLAMA	-77.1743983	-11.5644646
E.P. DE HUACHO	Av. Industrial S/N., HUAURA, CARQUIN	-77.6266816	-11.0938299
E.P. DE ICA	Caserio Cachiche S/N., ICA, ICA	-75.7341811	-14.07546
EP. DE ANCON (PIEDRAS GORDAS)	Panamericana Norte Km. 42, LIMA, ANCON	-77.1469377	-11.7272049
EP. DE ANCON II 	Panamericana Norte Km. 42, LIMA, ANCON	-77.1469377	-11.7272049
E.T.P. DE LIMA (Carceleta)	Jr. Aljovin S/N. Palac. Just. LIMA, LIMA, CERCADO DE LIMA	-77.0427934	-12.046374
EP. DE BARBADILLO	S/N Ex Fundo Barbadillo, LIMA, ATE	-76.9276053	-12.0300444
EP. DE YAUYOS	Jr. Trujillo Nº 189 , YAUYOS, YAUYOS	-75.91801629999999	-12.4600662
E.P. DE HUANUCO	Caserio Potracancha ??Cayhuana, HUANUCO, HUANUCO	-76.24326529999999	-9.9298454
E.P. DE PUCALLPA	Carret. Federico Basadre Km. 11.800, CRNL.PORTILLO, PUCALLPA		
E.P. DE LA UNION	Jr. Comercio S/N. Cuadra 18, DOS DE MAYO, LA UNION	-76.7833333	-9.7666667
E.P. DE CERRO DE PASCO	Barrio Buenos Aires S/N., CERRO DE PASCO, SIMON BOLIVAR		
E.P. DE CHACHAPOYAS	Comunidad de Huancas Km. 12, CHACHAPOYAS, HUANCAS	-77.8647222	-6.1738889
E.P. DE IQUITOS 	Carret. Guayabamba km. 18.200, MAYNAS, IQUITOS	-73.25163260000001	-3.7436735
E.P. MUJERES DE IQUITOS	Carret. Guayabamba km. 18.200, MAYNAS, IQUITOS	-73.25163260000001	-3.7436735
E.P. DE BAGUA GRANDE 	Av. Daniel Alcides Carrión 772 Urb. Gonchillo., UTCUBAMBA, BAGUA GRANDE	-78.450592	-5.757331
E.P. DE MOYOBAMBA	Sector Shango ??Barrio de Belen, MOYOBAMBA, MOYOBAMBA	-76.97825759999999	-6.037902799999999
E.P. DE TARAPOTO	Av. Circunvalación S/N. Cdra. 11, TARAPOTO, TARAPOTO	-76.3726891	-6.4824784
E.P. DE SANAGUILLO	Pampas de Sananguillo, TARAPOTO, TARAPOTO	-76.3726891	-6.4824784
E.P. DE HUANCAYO	Av. 28 de Julio S/N, CHUPACA, HUMANCACA CHICO		
E.P. MUJERES DE CONCEPCION	Barrio Tambo Alapa S/N., CONCEPCION, CONCEPCION	-75.31288889999999	-11.9184778
E.P. CHANCHAMAYO	Av. Pacherra S/N., CHANCHAMAYO, LA MERCED	-75335	-11.0619444
E.P. DE SATIPO	Av. Augusto B. Leguia N° 767, SATIPO, SATIPO	-74.63760289999999	-11.2540423
E.P. DE TARMA	Jr. Leoncio Prado N° 123, TARMA, TARMA	-75.6921898	-11.4219815
E.P. DE LA OROYA	Av. M. Grau y Psje. Los Angeles, OROYA, STA. ROSA DE SACCO		
E.P. DE HUANCAVELICA	Av. San Juan Evangelista S/N., HUANCAVELICA, HUANCAVELICA	-74.9770128	-12.7840551
E.P. DE AYACUCHO (Yanamilla)	Caserio Yanamilla ??Aeropuerto, HUAMANGA, AYACUCHO	-74.22356409999999	-13.1638737
E.P. DE HUANTA	Av. Gervacio Santillana N° 914, HUANTA, HUANTA	-74.2475	-12.9397222
E.P. DE ABANCAY	Jr. Diaz Barcena N° 104, ABANCAY, ABANCAY	-72.88333329999999	-13.6333333
E.P. DE ANDAHUAYLAS	Jr. Ayacucho S/N. (costado Mod.Básico Justicia), ANDAHUAYLAS, ANDAHUAYLAS	-73.38333329999999	-13.6575
E.P. DE CUSCO (QUENCCORO)	Av. La Cultura Km. 5.5 San Jerónimo, CUSCO, SAN JERONIMO	-71.893158	-13.54918
E.P. DE MUJERES CUSCO (QUENCCORO)	Av. La Cultura Km. 5.5 San Jerónimo, CUSCO, SAN JERONIMO	-71.893158	-13.54918
E.P. DE SICUANI	Av. Centenario N° 530, CANCHIS, SICUANI	-71.22466299999999	-14.28529
E.P. DE QUILLABAMBA	Av. Nicanor Larrea S/N., LA CONVENCION, QUILLABAMBA	-72.6930556	-12.8633333
E.P. PUERTO MALDONADO	Carretera La Joya Km. 3.5, TAMBOPATA, TAMBOPATA	-69.1943192	-12.5923972
E.P. DE AREQUIPA 	Quebrada La Chuca, AREQUPA, SOCABAYA		
E.P. MUJERES DE AREQUIPA	Quebrada La Chuca, AREQUPA, SOCABAYA		
E.P. DE CAMANA 	Centro Poblado Pucchún, CAMANA, MRCAL. CACERES		
E.P. DE MOQUEGUA	Av. Andrés A. Caceres S/N., MRCAL. NIETO, SAMEGUA	-70.9278674	-17.1891425
E.P. DE TACNA	Prolong. Av. Hnos. Reynoso S/N, TACNA, POCOLLAY	-70.2207415	-17.9969001
E.P. DE MUJERES DE TACNA	Prolong. Av. Hnos. Reynoso S/N, TACNA, POCOLLAY	-70.2207415	-17.9969001
E.P. DE LAMPA	Av. Enrique Torres Belón/Jr.28 de Julio, LAMPA, LAMPA	-70.3655556	-15.3636111
EP. DE JULIACA (LA CAPILLA)	"Av.José Santos Chocano Mz""H"" Lote""M4"", SAN ROMAN, JULIACA"	-70.12965299999999	-15.4996879
EP. DE PUNO (YANAMAYO)	Carretera Tiquillaca Km. 5, PUNO, PUNO	-70.0263891	-15.8502889
EP. DE CHALLAPALCA	Fuerte Inclán ??Ejercito Peruano, TARATA, TICACO	-70.05	-17.45
